Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Toyota,Corolla,27.24,3.03,91.61,1677.95,petrol,124092,124092,13792,217933
Audi,A3,36.22,6.47,94.33,1424.67,petrol,109473,109473,10912,193184
Peugeot,207,21.7,4.9,79.77,1536.0,petrol,70694,70694,8859,182163
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,106811,106811,9978,178171
Land-Rover,Freelander,43.86,5.29,105.17,2083.52,diesel,109602,109602,9004,176801
Toyota,Avensis,37.32,4.32,103.68,1873.26,petrol,133115,133115,10284,175500
Peugeot,306,18.64,4.84,67.0,1698.64,petrol,105854,105854,8217,173353
Skoda,Fabia,19.01,5.21,66.97,1292.35,petrol,90171,90171,8281,170287
BMW,535i,93.71,8.0,225.0,2979.0,petrol,134875,134875,8674,164253
Land-Rover,Discovery,107.45,8.0,182.57,2425.43,diesel,121045,121045,6571,159412
